PurchDate,Auction,VehYear,VehicleAge,Make,Model,Trim,SubModel,Color,Transmission,WheelTypeID,WheelType,VehOdo,Nationality,Size,TopThreeAmericanName,MMRAcquisitionAuctionAveragePrice,MMRAcquisitionAuctionCleanPrice,MMRAcquisitionRetailAveragePrice,MMRAcquisitonRetailCleanPrice,MMRCurrentAuctionAveragePrice,MMRCurrentAuctionCleanPrice,MMRCurrentRetailAveragePrice,MMRCurrentRetailCleanPrice,PRIMEUNIT,AUCGUART,BYRNO,VNZIP1,VNST,VehBCost,IsOnlineSale,WarrantyCost,PurchDate2,IsBadBuy
0,0,3,2,2,8,7,8,0,0,0,0,84872,1,3,2,7845,9752,11734,13656,9167,10988,12580,14845,0,0,0,0,0,7700,0,1633,0,0
0,0,6,7,9,18,10,11,7,0,1,1,54586,1,4,1,2139,3106,5072,6424,3307,4388,6228,7413,0,0,1,0,0,4800,0,1551,0,0
0,0,2,4,7,29,15,25,4,0,0,0,78434,1,1,3,10272,12753,15509,17813,11671,13560,16535,18390,0,0,1,0,0,10700,0,1272,0,0
1,0,2,5,2,4,3,4,1,1,1,1,80968,1,2,2,3224,4345,6716,7871,3800,4823,6687,7947,0,0,1,0,0,4600,0,1243,1,0
1,0,2,5,1,11,2,22,7,0,0,0,89705,1,4,1,5094,6628,9006,10811,6175,7792,9768,11489,0,0,1,0,0,6100,0,1763,1,0
1,0,0,4,0,47,12,43,1,0,0,0,83501,0,9,0,7841,9211,11179,12142,7860,9170,11305,12281,0,0,3,0,0,7300,0,1113,1,0
1,0,0,4,8,40,22,37,5,0,1,1,76052,1,0,3,5034,6206,8358,9604,5265,6275,8540,10178,0,0,3,0,0,4900,0,803,1,0
1,0,2,5,1,49,1,45,3,0,0,0,61081,1,11,1,6208,7176,10055,11247,7470,8553,11393,12672,0,0,3,0,0,5900,0,1020,1,0
1,0,0,4,7,51,11,47,3,0,1,1,43898,1,2,3,4465,5384,8391,9258,4836,5860,8549,9650,0,0,2,0,0,5600,0,623,1,0
1,0,0,4,15,48,16,44,0,0,0,0,57338,1,10,1,8597,10149,12331,13928,8931,10567,12439,13962,0,0,3,0,0,7500,0,588,1,0
1,0,2,5,1,41,1,49,0,0,1,1,79957,1,5,1,6242,8058,10261,12091,6698,7400,11325,11897,0,0,3,0,0,7700,0,1389,1,0
1,0,5,7,16,53,5,50,7,0,0,0,78559,2,10,0,6412,7495,10072,11343,7166,8201,10148,11289,0,0,3,0,0,8000,0,986,1,0
1,0,2,5,2,56,7,53,5,0,0,0,55909,1,9,2,7350,8513,12016,13918,8320,9344,12490,13398,0,0,2,0,0,8500,0,1169,1,0
1,0,1,6,7,60,28,56,1,0,0,0,78412,1,10,3,4220,4497,7415,7637,4133,4626,7374,7790,0,0,1,0,0,5100,0,1155,2,0
1,0,1,6,1,1,1,1,9,0,0,0,80491,1,1,1,6601,8123,10917,12227,7456,9222,11374,12791,0,0,2,0,0,9400,0,983,2,0
1,0,0,4,7,21,28,51,3,0,0,0,69337,1,0,3,6627,7770,10753,11777,5671,6870,9349,11038,0,0,4,0,0,6500,0,728,2,0
1,0,0,4,13,39,10,3,11,0,0,0,70741,1,0,3,7146,8382,10398,12048,6635,7866,10354,11480,0,0,1,0,0,6900,0,1272,3,0
1,0,1,6,3,5,4,5,3,0,1,1,86028,0,0,0,5069,6199,8142,9173,4001,4958,6630,7704,0,0,2,0,0,6300,0,594,3,0
1,0,0,4,14,46,12,3,1,1,1,1,23881,0,0,0,4325,5406,7860,9824,4165,5171,7855,9752,0,0,1,0,0,6200,0,462,3,0
1,0,6,8,2,77,27,77,3,0,0,0,92532,1,10,2,4934,6104,8163,9495,4711,6099,7832,8899,0,0,2,0,0,6400,0,1930,3,0
1,0,5,7,5,81,8,16,6,0,0,0,92816,1,5,3,6120,7431,10195,11755,5770,6795,9406,10590,0,0,1,0,0,7700,0,1641,3,0
1,0,2,5,11,82,18,40,1,0,1,1,73726,0,2,0,3295,4183,6362,7066,2946,4098,6044,7087,0,0,2,0,0,4100,0,920,3,0
1,0,2,5,7,83,10,83,5,0,1,1,47550,1,4,3,5785,7168,8927,10598,4844,6215,8367,9704,0,0,1,0,0,7800,0,1398,3,0
1,0,1,6,11,84,18,3,1,0,1,1,64064,0,0,0,3593,4660,8268,10724,3388,4327,6468,7390,0,0,1,0,0,5000,0,533,3,0
1,0,2,5,2,7,6,7,3,0,1,1,52113,1,0,2,3851,4867,6936,8434,3616,4846,6893,7899,0,0,2,0,0,5600,0,754,3,0
1,0,0,4,13,39,10,3,3,0,0,0,64458,1,0,3,6874,8064,10059,11482,6635,7866,10354,11480,0,0,3,0,0,7400,0,1118,3,0
1,0,2,5,2,7,6,88,6,0,0,0,58823,1,0,2,4346,5727,7345,8929,3787,4908,7728,10015,0,0,3,0,0,5800,0,754,3,0
1,0,3,3,11,84,18,3,4,0,1,1,61319,0,0,0,7346,8563,10865,11910,7219,8188,11019,11908,0,0,0,0,0,7235,0,533,4,0
1,0,1,6,9,59,10,3,1,0,1,1,79333,1,0,1,4065,4877,6776,7771,2854,3797,5963,7326,0,0,1,0,0,6100,0,1389,4,0
1,0,5,7,6,12,10,95,11,0,1,1,67696,2,0,0,4817,5876,7912,8935,4477,5597,7668,9242,0,0,3,0,0,7300,0,930,4,0
1,0,0,4,6,12,10,3,6,0,2,2,86466,2,0,0,8051,9773,11165,12876,8191,9842,11865,13505,0,0,1,0,0,7400,0,723,4,0
1,0,3,3,1,33,10,71,3,0,1,1,60201,1,0,1,6608,7873,10632,11668,6293,7170,9876,10570,0,0,1,0,0,6400,0,825,4,0
1,0,0,4,7,21,28,19,4,1,0,0,84454,1,0,3,6487,7654,10476,12323,5855,7244,9502,11054,0,0,2,0,0,6700,0,853,4,0
1,0,2,5,8,40,33,67,3,1,1,1,89769,1,0,3,4083,5129,7234,8350,3210,4218,6658,7586,0,0,2,0,0,4900,0,853,5,0
1,0,1,6,7,99,11,47,1,0,0,0,83081,1,0,3,5736,7210,9141,10634,4267,5528,7468,8563,0,0,1,0,0,6100,0,1373,5,0
1,0,0,4,7,67,11,65,9,0,1,1,91773,1,5,3,8037,9794,11586,13748,8428,10145,12427,13850,0,0,1,0,0,6800,0,1630,5,0
1,0,1,6,7,14,44,55,5,0,0,0,62271,1,5,3,6277,7545,9748,11020,5664,7095,9497,11161,0,0,4,0,0,8600,0,1020,5,0
1,0,1,6,11,84,18,3,11,0,1,1,97581,0,0,0,3044,4007,6275,7747,2534,3369,5634,6051,0,0,2,0,0,3800,0,620,8,0
1,0,7,2,1,106,10,116,6,0,1,1,79986,1,7,1,9910,11097,12786,14477,10117,11192,13259,14350,0,0,1,0,0,9000,0,1389,8,0
1,0,1,6,0,0,36,0,3,0,0,0,92865,0,0,0,4294,5538,6607,8010,5111,6596,8548,9930,0,0,2,0,0,6600,0,1197,8,0
1,0,6,8,10,22,11,20,11,0,0,0,94898,1,0,2,2756,3804,5665,7220,3314,4718,5816,6883,1,1,2,0,0,4200,0,1353,8,0
1,0,8,1,7,36,28,93,6,0,0,0,60559,1,3,3,9944,10977,14036,15253,10981,12184,14779,16077,1,1,1,0,0,9000,0,1703,9,0
1,0,0,4,2,115,42,126,1,0,0,0,91071,1,1,2,12388,14924,17833,20207,12360,15378,17496,20147,1,1,2,0,0,9600,0,1774,9,0
1,0,7,2,13,80,10,7,2,0,1,1,44281,1,0,3,8169,9168,11932,12902,8777,10108,12054,13065,0,0,1,0,0,8450,0,764,9,0
1,0,2,5,15,48,48,128,3,0,0,0,76007,1,10,1,7979,9680,11325,12953,8167,9595,11202,12774,0,0,1,0,0,7600,0,686,9,0
1,0,0,4,7,51,11,47,1,0,1,1,87839,1,2,3,4529,5607,7233,8483,4698,5835,7597,8838,1,1,2,0,0,5000,0,853,9,0
1,0,3,3,9,27,10,3,1,0,1,1,66750,1,7,1,9899,11476,14193,15739,10244,11923,14403,15902,0,0,2,0,0,9500,0,1215,9,0
1,0,0,4,7,83,11,133,7,0,1,1,98358,1,4,3,5619,6876,9683,10938,4974,5932,8719,9786,0,0,2,0,0,5000,0,2495,9,0
1,0,7,2,9,75,17,114,7,0,1,1,51125,1,0,1,8000,9019,11577,12799,7456,8757,11211,12555,0,0,2,0,0,7200,0,920,9,0
1,0,5,7,1,11,16,138,11,0,0,0,80341,1,4,1,3678,5124,6726,8404,3517,4656,6517,7778,0,0,4,0,0,5700,0,2063,9,0
1,0,1,6,7,104,10,3,11,0,1,1,107810,1,0,3,3627,4414,6446,7343,3670,4615,6777,7837,0,0,3,0,0,3900,0,1290,0,0
1,0,2,5,1,61,14,139,7,0,0,0,66708,1,5,1,7182,8067,10572,11414,7612,9388,10797,12242,0,0,3,0,0,9750,0,1118,0,0
1,0,1,6,1,1,1,1,7,0,0,0,81209,1,1,1,6694,8396,10473,12270,6836,8359,11067,12291,1,1,1,0,0,9100,0,983,0,0
1,0,3,3,7,16,11,47,4,0,1,1,86471,1,3,3,7422,8636,10121,11687,7532,8862,11226,12617,0,0,1,0,0,7400,0,2152,0,0
1,0,5,7,5,81,8,16,2,0,0,0,84963,1,5,3,5760,6826,9243,10521,5587,6871,9489,10280,1,1,2,0,0,7350,0,1543,0,0
1,0,2,5,7,62,10,3,7,0,1,1,70235,1,0,3,4881,6445,8253,10466,3464,4138,6959,7766,0,0,2,0,0,6250,0,1272,0,0
1,0,2,5,7,13,11,47,1,0,1,1,86495,1,2,3,3054,4067,5772,6526,3603,4561,6679,8079,1,1,2,0,0,3550,0,1243,0,0
