RefId,IsBadBuy
73015,0
73016,1
73017,0
73018,0
73019,1
73020,0
73021,0
73022,0
73023,0
73024,1
73025,0
73026,1
73027,1
73028,0
73029,0
73030,0
73031,0
73032,0
73033,0
73034,0
73035,0
73036,0
73037,0
73038,0
73039,0
73040,0
73041,1
73042,0
73043,0
73044,1
73045,0
73046,0
73047,0
73048,0
73049,0
73050,0
73051,0
73052,0
73053,1
73054,0
73055,0
73056,0
73057,0
73058,0
73059,0
73060,0
73061,1
73062,0
73063,0
73064,0
73065,0
73066,0
73067,0
73068,0
73069,0
73070,0
73071,1
73072,0
73073,1
73074,1
73075,0
73076,0
73077,1
73078,0
73079,0
73080,0
73081,0
73082,0
73083,0
73084,0
73085,0
73086,0
73087,0
73088,0
73089,0
73090,0
73091,0
73092,0
73093,0
73094,0
73095,0
73096,0
73097,0
73098,0
73099,0
73100,0
73101,0
73102,0
73103,0
73104,1
73105,0
73106,0
73107,0
73108,0
73109,1
73110,0
73111,0
73112,0
73113,0
73114,0
73115,0
73116,0
73117,0
73118,0
73119,1
73120,0
73121,0
73122,0
73123,0
73124,0
73125,0
73126,1
73127,0
73128,0
73129,0
73130,0
73131,0
73132,0
73133,0
73134,0
73135,0
73136,0
73137,1
73138,1
73139,0
73140,1
73141,0
73142,0
73143,0
73144,0
73145,0
73146,0
73147,0
73148,0
73149,1
73150,0
73151,0
73152,0
73153,0
73154,0
73155,0
73156,1
73157,0
73158,0
73159,0
73160,1
73161,0
73162,1
73163,0
73164,0
73165,0
73166,0
73167,0
73168,0
73169,0
73170,0
73171,0
73172,0
73173,0
73174,1
73175,0
73176,0
73177,1
73178,0
73179,0
73180,0
73181,1
73182,0
73183,1
73184,0
73185,0
73186,0
73187,0
73188,0
73189,0
73190,1
73191,1
73192,1
73193,0
73194,0
73195,0
73196,0
73197,1
73198,0
73199,0
73200,0
73201,0
73202,1
73203,0
73204,0
73205,0
73206,0
73207,0
73208,0
73209,0
73210,0
73211,1
73212,0
73213,0
73214,0
73215,0
73216,0
73217,0
73218,0
73219,0
73220,0
73221,0
73222,0
73223,0
73224,0
73225,0
73226,0
73227,0
73228,0
73229,0
73230,0
73231,0
73232,1
73233,0
73234,0
73235,0
73236,0
73237,0
73238,0
73239,0
73240,0
73241,0
73242,0
73243,1
73244,0
73245,1
73246,1
73247,0
73248,1
73249,0
73250,0
73251,1
73252,0
73253,0
73254,0
73255,1
73256,0
73257,0
73258,0
73259,0
73260,0
73261,0
73262,1
73263,0
73264,1
73265,0
73266,0
73267,0
73268,0
73269,0
73270,0
73271,0
73272,1
73273,0
73274,0
73275,1
73276,0
73277,0
73278,0
73279,0
73280,0
73281,0
73282,1
73283,0
73284,0
73285,0
73286,0
73287,0
73288,0
73289,1
73290,1
73291,0
73292,0
73293,1
73294,0
73295,1
73296,0
73297,0
73298,1
73299,1
73300,0
73301,0
73302,0
73303,0
73304,0
73305,1
73306,1
73307,0
73308,0
73309,1
73310,0
73311,0
73312,0
73313,1
73314,0
73315,0
73316,1
73317,0
73318,0
73319,0
73320,0
73321,0
73322,0
73323,0
73324,1
73325,0
73326,1
73327,0
73328,0
73329,0
73330,0
73331,0
73332,0
73333,0
73334,0
73335,0
73336,0
73337,0
73338,1
73339,1
73340,0
73341,1
73342,0
73343,0
73344,0
73345,0
73346,0
73347,0
73348,0
73349,1
73350,0
73351,0
73352,0
73353,1
73354,0
73355,1
73356,0
73357,0
73358,0
73359,0
73360,0
73361,0
73362,0
73363,0
73364,0
73365,0
73366,0
73367,0
73368,0
73369,0
73370,0
73371,0
73372,0
73373,0
73374,0
73375,0
73376,0
73377,0
73378,0
73379,0
73380,0
73381,1
73382,0
73383,0
73384,0
73385,0
73386,0
73387,0
73388,0
73389,0
73390,0
73391,1
73392,0
73393,0
73394,0
73395,0
73396,0
73397,0
73398,0
73399,0
73400,1
73401,0
73402,0
73403,0
73404,0
73405,0
73406,0
73407,1
73408,0
73409,1
73410,0
73411,0
73412,0
73413,0
73414,1
73415,0
73416,1
73417,0
73418,1
73419,0
73420,0
73421,0
73422,1
73423,0
73424,1
73425,0
73426,0
73427,1
73428,0
73429,0
73430,0
73431,0
73432,0
73433,0
73434,0
73435,0
73436,0
73437,0
73438,0
73439,0
73440,1
73441,0
73442,1
73443,0
73444,0
73445,0
73446,0
73447,0
73448,0
73449,0
73450,0
73451,1
73452,0
73453,0
73454,0
73455,1
73456,1
73457,0
73458,1
73459,0
73460,0
73461,1
73462,0
73463,0
73464,1
73465,0
73466,1
73467,0
73468,0
73469,0
73470,0
73471,1
73472,0
73473,0
73474,0
73475,0
73476,0
73477,1
73478,0
73479,0
73480,1
73481,1
73482,1
73483,0
73484,0
73485,0
73486,1
73487,1
73488,0
73489,0
73490,0
73491,1
73492,0
73493,1
73494,1
73495,0
73496,0
73497,0
73498,1
73499,0
73500,0
73501,0
73502,0
73503,0
73504,1
73505,0
73506,0
73507,1
73508,0
73509,0
73510,0
73511,0
73512,1
73513,0
73514,0
73515,1
73516,0
73517,0
73518,0
73519,0
73520,1
73521,0
73522,0
73523,0
73524,1
73525,0
73526,0
73527,0
73528,1
73529,0
73530,0
73531,0
73532,0
73533,0
73534,0
73535,0
73536,0
73537,0
73538,0
73539,0
73540,0
73541,0
73542,0
73543,0
73544,0
73545,0
73546,0
73547,1
73548,1
73549,1
73550,1
73551,0
73552,0
73553,0
73554,1
73555,0
73556,0
73557,0
73558,0
73559,0
73560,1
73561,0
73562,0
73563,0
73564,0
73565,0
73566,1
73567,1
73568,0
73569,1
73570,1
73571,1
73572,0
73573,0
73574,0
73575,1
73576,1
73577,0
73578,0
73579,0
73580,1
73581,1
73582,0
73583,0
73584,0
73585,0
73586,1
73587,1
73588,1
73589,0
73590,1
73591,0
73592,1
73593,0
73594,0
73595,0
73596,0
73597,0
73598,0
73599,0
73600,0
73601,0
73602,0
73603,0
73604,0
73605,0
73606,0
73607,0
73608,0
73609,1
73610,0
